FID,CODE,NAME,ORIG_FID,POINT_X,POINT_Y
119,49001,北环大道,59,113.949410333,22.5561653333
120,49001,北环大道,60,113.949410333,22.5561653333
121,49001,北环大道,60,113.950037667,22.5562316667
122,49001,北环大道,61,113.950037667,22.5562316667
123,49001,北环大道,61,113.950665,22.556298
124,49001,北环大道,62,113.950665,22.556298
125,49001,北环大道,62,113.951553,22.556407
126,49001,北环大道,63,113.951553,22.556407
127,49001,北环大道,63,113.952176,22.556476
128,49001,北环大道,64,113.952176,22.556476
129,49001,北环大道,64,113.9527775,22.556583
130,49001,北环大道,65,113.9527775,22.556583
131,49001,北环大道,65,113.953379,22.55669
132,49001,北环大道,66,113.953379,22.55669
133,49001,北环大道,66,113.953895,22.556746
134,49001,北环大道,67,113.953895,22.556746
135,49001,北环大道,67,113.9546918,22.5567506
136,49001,北环大道,68,113.9546918,22.5567506
137,49001,北环大道,68,113.9554886,22.5567552
138,49001,北环大道,69,113.9554886,22.5567552
139,49001,北环大道,69,113.9562854,22.5567598
140,49001,北环大道,70,113.9562854,22.5567598
141,49001,北环大道,70,113.9570822,22.5567644
142,49001,北环大道,71,113.9570822,22.5567644
143,49001,北环大道,71,113.957879,22.556769
144,49001,北环大道,72,113.957879,22.556769
145,49001,北环大道,72,113.958723,22.55677
146,49001,北环大道,73,113.958723,22.55677
147,49001,北环大道,73,113.959567,22.556771
148,49001,北环大道,74,113.959567,22.556771
149,49001,北环大道,74,113.960411,22.556772
150,49001,北环大道,75,113.960411,22.556772
151,49001,北环大道,75,113.9609395,22.556874
152,49001,北环大道,76,113.9609395,22.556874
153,49001,北环大道,76,113.961468,22.556976
154,49001,北环大道,77,113.961468,22.556976
155,49001,北环大道,77,113.962082,22.557085
156,49001,北环大道,78,113.962082,22.557085
157,49001,北环大道,78,113.962826,22.557212
158,49001,北环大道,79,113.962826,22.557212
159,49001,北环大道,79,113.963578,22.557415
160,49001,北环大道,80,113.963578,22.557415
161,49001,北环大道,80,113.964261667,22.5575093333
162,49001,北环大道,81,113.964261667,22.5575093333
163,49001,北环大道,81,113.964945333,22.5576036667
164,49001,北环大道,82,113.964945333,22.5576036667
165,49001,北环大道,82,113.965629,22.557698
166,49001,北环大道,83,113.965629,22.557698
167,49001,北环大道,83,113.96625,22.5577195
168,49001,北环大道,84,113.96625,22.5577195
169,49001,北环大道,84,113.966871,22.557741
170,49001,北环大道,85,113.966871,22.557741
171,49001,北环大道,85,113.96760875,22.55775375
172,49001,北环大道,86,113.96760875,22.55775375
173,49001,北环大道,86,113.9683465,22.5577665
174,49001,北环大道,87,113.9683465,22.5577665
175,49001,北环大道,87,113.96908425,22.55777925
176,49001,北环大道,88,113.96908425,22.55777925
177,49001,北环大道,88,113.969822,22.557792
178,49001,北环大道,89,113.969822,22.557792
179,49001,北环大道,89,113.970451,22.557699
180,49001,北环大道,90,113.970451,22.557699
181,49001,北环大道,90,113.97108,22.557606
182,49001,北环大道,91,113.97108,22.557606
183,49001,北环大道,91,113.9716895,22.557499
184,49001,北环大道,92,113.9716895,22.557499
185,49001,北环大道,92,113.972299,22.557392
186,49001,北环大道,93,113.972299,22.557392
187,49001,北环大道,93,113.972903,22.557224
188,49001,北环大道,94,113.972903,22.557224
189,49001,北环大道,94,113.973507,22.557056
190,49001,北环大道,95,113.973507,22.557056
191,49001,北环大道,95,113.974111,22.556888
192,49001,北环大道,96,113.974111,22.556888
193,49001,北环大道,96,113.974984,22.556904
194,49001,北环大道,97,113.974984,22.556904
195,49001,北环大道,97,113.975857,22.55692
196,49001,北环大道,98,113.975857,22.55692
197,49001,北环大道,98,113.976705,22.557134
198,49001,北环大道,99,113.976705,22.557134
199,49001,北环大道,99,113.977559,22.557407
200,49001,北环大道,100,113.977559,22.557407
201,49001,北环大道,100,113.978413,22.55768
202,49001,北环大道,101,113.978413,22.55768
203,49001,北环大道,101,113.9791508,22.5578308
204,49001,北环大道,102,113.9791508,22.5578308
205,49001,北环大道,102,113.9798886,22.5579816
206,49001,北环大道,103,113.9798886,22.5579816
207,49001,北环大道,103,113.9806264,22.5581324
208,49001,北环大道,104,113.9806264,22.5581324
209,49001,北环大道,104,113.9813642,22.5582832
210,49001,北环大道,105,113.9813642,22.5582832
211,49001,北环大道,105,113.982102,22.558434
212,49001,北环大道,106,113.982102,22.558434
213,49001,北环大道,106,113.982947,22.558635
214,49001,北环大道,107,113.982947,22.558635
215,49001,北环大道,107,113.983792,22.558836
216,49001,北环大道,108,113.983792,22.558836
217,49001,北环大道,108,113.984637,22.559037
218,49001,北环大道,109,113.984637,22.559037
219,49001,北环大道,109,113.985482,22.559238
220,49001,北环大道,110,113.985482,22.559238
221,49001,北环大道,110,113.9860435,22.559348
222,49001,北环大道,111,113.9860435,22.559348
223,49001,北环大道,111,113.986605,22.559458
224,49001,北环大道,112,113.986605,22.559458
225,49001,北环大道,112,113.987128,22.559488
226,49001,北环大道,113,113.987128,22.559488
227,49001,北环大道,113,113.987651,22.559518
228,49001,北环大道,114,113.987651,22.559518
